                              Package    Version
plogr                           plogr      0.2.0
plyr                             plyr      1.8.8
png                               png      0.1-8
polyclip                     polyclip     1.10-4
pracma                         pracma      2.4.2
praise                         praise      1.0.0
prettyunits               prettyunits      1.1.1
pROC                             pROC     1.18.0
processx                     processx      3.8.0
prodlim                       prodlim 2019.11.13
profvis                       profvis      0.3.7
progress                     progress      1.2.2
progressr                   progressr     0.12.0
promises                     promises    1.2.0.1
proxy                           proxy     0.4-27
ps                                 ps      1.7.2
purrr                           purrr      1.0.0
quantmod                     quantmod     0.4.20
quantreg                     quantreg       5.94
R.matlab                     R.matlab      3.7.0
R.methodsS3               R.methodsS3      1.8.2
R.oo                             R.oo     1.25.0
R.utils                       R.utils     2.12.2
r2d3                             r2d3      0.2.6
R6                                 R6      2.5.1
ragg                             ragg      1.2.4
randomForest             randomForest    4.7-1.1
rappdirs                     rappdirs      0.3.3
raster                         raster     3.6-13
rbibutils                   rbibutils     2.2.11
rcmdcheck                   rcmdcheck      1.4.0
RColorBrewer             RColorBrewer      1.1-3
Rcpp                             Rcpp      1.0.9
RcppEigen                   RcppEigen  0.3.3.9.3
RcppParallel             RcppParallel      5.1.5
Rdpack                         Rdpack        2.4
readr                           readr      2.1.3
readxl                         readxl      1.4.1
recipes                       recipes      1.0.3
redland                       redland  1.0.17-16
rematch                       rematch      1.0.1
rematch2                     rematch2      2.1.2
remotes                       remotes      2.4.2
renv                             renv     0.16.0
reprex                         reprex      2.0.2
reshape                       reshape      0.8.9
reshape2                     reshape2      1.4.4
rex                               rex      1.2.1
rgdal                           rgdal      1.6-3
rJava                           rJava      1.0-6
rlang                           rlang      1.0.6
RMariaDB                     RMariaDB      1.2.2
rmarkdown                   rmarkdown       2.19
rmdshower                   rmdshower      2.1.1
roxygen2                     roxygen2      7.2.3
rpart.plot                 rpart.plot      3.1.1
RPostgres                   RPostgres      1.4.4
rprojroot                   rprojroot      2.0.3
rsample                       rsample      1.1.1
rsconnect                   rsconnect     0.8.28
RSQLite                       RSQLite     2.2.19
rstan                           rstan     2.21.7
rstudioapi                 rstudioapi       0.14
rticles                       rticles       0.24
rversions                   rversions      2.1.2
rvest                           rvest      1.0.3
s2                                 s2      1.1.1
sandwich                     sandwich      3.0-2
sass                             sass      0.4.4
scales                         scales      1.2.1
selectr                       selectr      0.4-2
servr                           servr       0.25
sessioninfo               sessioninfo      1.2.2
sf                                 sf      1.0-9
shape                           shape      1.4.6
shiny                           shiny      1.7.4
Sleuth3                       Sleuth3      1.0-3
slider                         slider      0.3.0
snakecase                   snakecase     0.11.0
sourcetools               sourcetools      0.1.7
sp                                 sp      1.5-1
spam                             spam      2.9-1
SparseM                       SparseM       1.81
SQUAREM                       SQUAREM     2021.1
StanHeaders               StanHeaders   2.21.0-7
stringi                       stringi      1.7.8
stringr                       stringr      1.5.0
sys                               sys      3.4.1
systemfonts               systemfonts      1.0.4
terra                           terra     1.6-47
testit                         testit       0.13
testthat                     testthat      3.1.6
textshaping               textshaping      0.3.6
TH.data                       TH.data      1.1-1
tibble                         tibble      3.1.8
tidymodels                 tidymodels      1.0.0
tidyr                           tidyr      1.2.1
tidyselect                 tidyselect      1.2.0
tidyverse                   tidyverse      1.3.2
timechange                 timechange      0.1.1
timeDate                     timeDate   4022.108
tinytex                       tinytex       0.43
TTR                               TTR     0.24.3
tufte                           tufte       0.12
tune                             tune      1.0.1
tweenr                         tweenr      2.0.2
tzdb                             tzdb      0.3.0
units                           units      0.8-1
