                                  Package    Version
htmltools                       htmltools      0.5.4
htmlwidgets                   htmlwidgets      1.6.0
httpuv                             httpuv      1.6.7
httr                                 httr      1.4.4
ica                                   ica      1.0-3
IDPmisc                           IDPmisc     1.1.20
ids                                   ids      1.0.1
igraph                             igraph      1.3.5
infer                               infer      1.0.4
influenceR                     influenceR    0.1.0.1
ini                                   ini      0.3.1
inline                             inline     0.3.19
interp                             interp      1.1-3
ipred                               ipred     0.9-13
IRanges                           IRanges     2.32.0
irlba                               irlba    2.3.5.1
isoband                           isoband      0.2.7
iterators                       iterators     1.0.14
janeaustenr                   janeaustenr      1.0.0
janitor                           janitor      2.1.0
jpeg                                 jpeg     0.1-10
jquerylib                       jquerylib      0.1.4
jsonlite                         jsonlite      1.8.4
juicyjuice                     juicyjuice      0.1.0
kableExtra                     kableExtra      1.3.4
KEGGREST                         KEGGREST     1.38.0
knitr                               knitr       1.41
labeling                         labeling      0.4.2
labelled                         labelled     2.10.0
Lahman                             Lahman     10.0-1
lambda.r                         lambda.r      1.2.4
later                               later      1.3.0
latticeExtra                 latticeExtra     0.6-30
lava                                 lava      1.7.1
lazyeval                         lazyeval      0.2.2
leaflet                           leaflet      2.1.1
leaflet.providers       leaflet.providers      1.9.0
leaps                               leaps        3.1
learnr                             learnr     0.11.2
leiden                             leiden      0.4.3
leukemiasEset               leukemiasEset     1.34.0
lhs                                   lhs      1.1.6
libcoin                           libcoin      1.0-9
lifecycle                       lifecycle      1.0.3
limma                               limma     3.54.0
listenv                           listenv      0.9.0
littler                           littler     0.3.17
lme4                                 lme4     1.1-31
lmtest                             lmtest     0.9-40
locfit                             locfit    1.5-9.7
Lock5Data                       Lock5Data      3.0.0
loo                                   loo      2.5.1
lubridate                       lubridate      1.9.0
magick                             magick      2.7.3
magrittr                         magrittr      2.0.3
maps                                 maps      3.4.1
markdown                         markdown        1.4
mathjaxr                         mathjaxr      1.6-0
matrixcalc                     matrixcalc      1.0-6
MatrixGenerics             MatrixGenerics     1.10.0
MatrixModels                 MatrixModels      0.5-1
matrixStats                   matrixStats     0.63.0
mcmc                                 mcmc      0.9-7
MCMCpack                         MCMCpack      1.6-3
memoise                           memoise      2.0.1
metadat                           metadat      1.2-0
metafor                           metafor      3.8-1
mime                                 mime       0.12
miniUI                             miniUI    0.1.1.1
minqa                               minqa      1.2.5
modeldata                       modeldata      1.0.1
modelenv                         modelenv      0.1.0
ModelMetrics                 ModelMetrics    1.2.2.2
modelr                             modelr     0.1.10
modeltools                     modeltools     0.2-23
moderndive                     moderndive      0.5.5
mosaic                             mosaic    1.8.4.2
mosaicCore                     mosaicCore    0.9.2.1
mosaicData                     mosaicData     0.20.3
msigdbr                           msigdbr      7.5.1
multcomp                         multcomp     1.4-20
multcompView                 multcompView      0.1-8
